College Name,Genders Accepted,Campus Size,Total Student Enrollments,Total Faculty,Established Year,Rating,University,Courses,Facilities,City,State,Country,College Type,Average Fees
National Institute of Technology Srinagar ,Co-Ed,,2565,80,1960,,,"BT_CE, BT_ECE, BT_EE, BT_ChemE, BT_ME, MT_ChemE","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Alumni Associations, Guest Room",Srinagar,Jammu and Kashmir,India,Public/Government,332444.44444444444
Dr Vishwanath Karad MIT World Peace University,Co-Ed,52 Acres,4702,511,2017,,,"BT_CSE, BT_CSE, BT_ME, BT_CE, BT_ECE, BT_ChemE, BT_EE","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Swimming Pool, Alumni Associations, Banks Facilities",Pune,Maharashtra,India,Private,755792.4528301887
Chhatrapati Shahu Ji Maharaj University,Co-Ed,264 Acres,5319,124,1966,,,"BT_ChemE, BT_ChemE, BT_CSE, BT_CSE, BT_ECE, BT_ECE, BT_ME, BT_ME","Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Alumni Associations, Parking Facility, Guest Room, Banks Facilities",Kanpur,Uttar Pradesh,India,Public/Government,99376.66666666667
Madan Mohan Malaviya University of Technology,Co-Ed,339 Acres,3065,41,2013,,,"BT_CE, BT_CSE, BT_EE, BT_ECE, BT_ChemE, BT_ME","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Transport, Laboratories, Convenience Store, Alumni Associations, Guest Room, Banks Facilities",Gorakhpur,Uttar Pradesh,India,Public/Government,393741.93548387097
Deen Bandhu Chhotu Ram University of Science and Technology,Co-Ed,273 Acres,3782,174,2006,3.02,,"BT_ME, BT_ME, BT_ECE, BT_ME, BT_ChemE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_EE, BT_EE, BT_EE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_CSE, BT_ECE, BT_CE, BT_CE, BT_CE, BT_CSE, BT_EE, BT_EE, BT_EE, BT_EE, BT_ECE, BT_ECE, BT_ECE, BT_ME, BT_ME, MT_ChemE, BT_CSE, BT_ECE, BT_ECE, BT_ME","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Convenience Store, Alumni Associations, Parking Facility, Guest Room, Banks Facilities",Sonepat,Haryana,India,Public/Government,180218.40277777778
Shivaji University,Co-Ed,853 Acres,23820,179,1962,3.16,,"BT_CSE, BT_ME, BT_CE, BT_CSE, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_CSE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CSE, BT_CSE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_EE, BT_ECE, BT_ME, BT_ME, BT_ME, BT_ME","Boys Hostel, Girls Hostel, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Laboratories, Alumni Associations, Guest Room",Kolhapur,Maharashtra,India,Public/Government,231342.18309859154
Gayatri Vidya Parishad College of Engineering,Co-Ed,20 Acres,5469,273,1996,3.47,"Jawaharlal Nehru Technological University, Kakinada","BT_CSE, BT_ECE, BT_ME, BT_CE, BT_ChemE, MT_ChemE","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, IT Infrastructure, Transport, Laboratories, Alumni Associations, Banks Facilities",Visakhapatnam,Andhra Pradesh,India,Private,239380.95238095237
National Institute of Technology Arunachal Pradesh ,Co-Ed,,698,63,2010,2.34,,"BT_CE, BT_CSE, BT_ECE, BT_EE, BT_ME, BT_ChemE","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Classrooms, Transport, Laboratories, Alumni Associations",Papum Pare,Arunachal Pradesh,India,Public/Government,325950.0
Manipal University,Co-Ed,122 Acres,7606,547,2011,,,"BT_CSE, BT_ECE, BT_ME, BT_CE, BT_ChemE, BT_EE","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Moot Court, Laboratories, Alumni Associations, Guest Room",Jaipur,Rajasthan,India,Private,523740.74074074073
Jawaharlal Nehru Technological University,Co-Ed,89 Acres,730,276,1972,3.01,,"BT_CSE, BT_ECE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_ECE, BT_ECE, BT_ME, BT_CE, BT_CE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_CSE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ECE, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_ME, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE, BT_CE","Boys Hostel, Girls Hostel, Gym, Library, Sports, Cafeteria, Auditorium, Medical/Hospital, Wifi, IT Infrastructure, Alumni Associations, Guest Room, Banks Facilities",Hyderabad,Telangana,India,Public/Government,219825.08833922262
